status,website,license_validity,official_rep,name,telephone,address,email
Cancelled, None,2/2/2004 to 2/1/2008,DANILO C ABUSO,2000 MILLENNIUM MARITIME AND SHIPPING AGENCY,521-1651/5211775,"RM 202 2F KIMVI BLDG 1191 MA OROSA STERMITA, MANILA",2000mmsa@edsamail.com.ph 
Valid License,none,1/31/2019 to 1/31/2021,FRANCISCO M RAMOS JR,2018 CROWNE HUMAN RESOURCES INC,7962558,U602 GALLERIA CORPORATE CENTR EDSA COR ORTIGAS AVEQUEZON CITY,ciscoram13@gmail.com
Valid License,www.21stcmri.com,3/8/2016 to 3/7/2020,RUSSELL C GARCIA,21ST CENTURY MANPOWER RESOURCES INC (FOR. NURSING INT`L.),4121311/4144399/4101234,"RMS 401,405,406&407, JR BLDG, 1520 QUEZON AVENUESOUTH TRIANGLE, QUEZON CITY",recruitment@21stcmri.com
Valid License,N/A,7/21/2016 to 7/21/2020,JAIME MARTIN U PABALAN JR,2QUEENS MARITIME SERVICES INC,8347191/ 09778831222,STALL 15 4F WELLCOME PLAZA 2410-2432 TAFT LIBERTADPASAY CITY,crewing@2Qmaritime.com
Valid License, None,12/24/2015 to 12/23/2019,ANACLETO A GUEVARA,2TG MANPOWER INTERNATIONAL,353-41-66,"1361-C ABAD SANTOS BLG. ROMUALDEZ ST.PACO, MANILA",twotginternational@gmail.com
Cancelled,NA,1/12/2006 to 1/12/2010,CORAZON E. ABARQUEZ,3 JS GLOBAL RECRUITMENT AGENCY INC,(6382) 2286103/(632) 8329294/(632) 8312235,"R201 LEE BUSINESS COR J LUNA COR JUAN DELA CRUZ STDAVAO CITY, DAVAO DEL SUR",3JSGLOBALAGENCY@GMAIL.COM
Delisted,,3/24/1986 to 3/24/1988,MR EDUARDO E SANTOS,3 PLEX INTERNATIONAL INC , 980823 / 9223741,301 COLUMBIAN BLDG WEST AVE COR EDSA QUEZON CITY,
Cancelled, None, to 1/1/1901,MS ROSARIO R REYES,3 R`S OVERSEAS PLACEMENT CORPORATION,608132 /  623598,193 N S AMORANTO SR AVEQUEZON CITY,ims_3r@yahoo.com
Cancelled,NA,9/26/2005 to 3/26/2006,ADARLO P. FALOGME,3D MANPOWER & PLACEMENT SERVICES CORP.,920-3043,"50 K8 ST EAST KAMIASCUBAO, QUEZON CITY",NA
Cancelled,www.3r-ims.com.ph,2/3/2010 to 2/2/2014,THELMA C. ADUNA,3R INTERNATIONAL MANPOWER SERVICES,310-5049,"UNIT 870 LIVINGSTONE BLG.J.NAKPIL ST.MALATE, MANILA",ims_3r@yahoo.com
Denied Renewal, None,12/21/2001 to 12/21/2003,ALITA C BALANE,4M SJHALL AND ASSOCIATES MANPOWER INC,5241261 LOC 117/117,"RM 407 DNA FELISA SYJUCO BLG #1872 REMEDIOS STMALATE, MANILA",
Valid License, None,10/4/2018 to 10/3/2022,REYNALDO C. MADAMBA,5 STAR RECRUITMENT &  MANPOWER CORPORATION,236-1082/ 09275534499,"#59, 12TH AVE COR MAIN AVE, MURPHYCUBAO, QUEZON CITY",solmay_72@yahoo.com
Valid License, None,3/2/2019 to 3/1/2020,TRINA T DIZON,525 PRIMERA HUMAN RESOURCES SERVICES INC,2471221/ 0916-2281841,"UNIT 101, G/F, PADILLA SQUARE BLDG, PADRE FAURA COERMITA, MANILA",t.dizon@525primera.com
Cancelled,NA,9/26/2007 to 9/25/2011,GILBERTO G. MANZO,5A S INTERNATIONAL AGENCY CORPORATION,536-2124,"RM 202 KIMVI BLG 1191 MA OROSA STERMITA, MANILA",NA
Cancelled,WWW.7BLESSINGSDEVELOPMENT.NET,7/21/2006 to 7/21/2010,JOSE L. FERNANDEZ,7 BLESSINGS DEVELOPMENT AND PLACEMENT CENTER,498-0430,"RMS 1081C&E AND 375-ABC RAMAGI BLDG 1081 P GIL STPACO, MANILA",jobs@7blessingsdevelopment.net
Valid License,www.my7107.com,12/10/2018 to 12/9/2022,JOEL P. LONGARES,7107 ISLANDS PLACEMENT & PROMOTIONS INC,(02) 4628500 / 5532597 / 09175383014,3/F ATLAS SHIPERS BLG BF HMS MARTINVILLE MANUYO IILAS PI�AS,jobsat7107@yahoo.com
Valid License,www.818imc.com,8/2/2016 to 8/1/2020,WILLIAM L. CHUA,818 INTERNATIONAL MANPOWER CORPORATION (FORMERLY MBJ PROSTAFF MANAGEMENT CO,02-313-9596/ 09089387444/ 09156239220,"1331M H DEL PILAR ST ERMITA MANILAERMITA, MANILA",info@818imc.com
Valid License,www.88acesmaritime.com.ph,12/9/2017 to 12/8/2021,MA JANET A JOCSON,88 ACES MARITIME SERVICES INC,0927-895-7144/0915-1879460,"C-501, 5/F, ZEN TOWERS COMMERCIAL CTR, 1111 NATIVIERMITA, MANILA",jocson@88acesmaritime.com
Cancelled, None,12/15/2003 to 12/14/2007,LETICIA SARAGA,88 INTERNATIONAL MANPOWER SERVICES INC,8293772,U D&E 2/F PERMARC BLDG DR A SANTOS AVEPARA�AQUE,
Delisted, None,4/22/1994 to 4/21/1996,MS JENNIFER ENANO,888 INTERNATIONAL MANPOWER CORP,409687,2086 CAROLINA ST MALATE MANILAMANILA, None
Valid License, None,5/22/2015 to 5/21/2019,YASMIN Z MADANI,99 (NINETY NINE) MANPOWER SERVICES CORP.,8967330 /728-8711/ 8955480,"2F 7219 SAN MATEO ST. BGY OLYMPIAMAKATI, MAKATI",99nnmsmadani@gmail.com
Valid License,www.9kmanpower.com,1/4/2017 to 1/3/2021,MAILANE F KINDICA,9K INTERNATIONAL MANPOWER AND RECRUITMENT SERVICES CORP,5165504 / 09208434399,"UNIT M7 VICTORIA DE MANILA P GIL TAFT AVENUEMALATE, MANILA",9k@9kmanpower.com/info@9kmanpower.com
Cancelled,, to 9/13/1987,MR ANTONIO M ALLAMEN,A & A ENGINEERING,,345-F J.TEODORO COR 10TH AVE GRACE PARKCALOOCAN CITY,
Delisted,, to 9/2/1987,MR ROLANDO P MALIG,A & A INTERNATIONAL RECRUITMENT & PLACEMENT, 870902 / 8162718,4/F UNITED LIFE BLDG PASAY ROADMAKATI,
Valid License,www.anc-ph.com,3/5/2017 to 3/4/2021,PAUL Y. CHUA,A & C INTERNATIONAL RESOURCES INC,5214992 / 5168993,"RM 303 3F SAN LUIS TERRACES 638 T M KALAW STERMITA, MANILA",info@anc-ph.com or anc@anc-ph.com
Delisted,,8/25/1995 to 2/25/1996,MR ABELARDO P PANLAQUI,"A & C UNIVERSAL ENTERPRISES, INC. ",7322154,29 DATA ST BGY DON MANUEL QUEZON CITY,
Denied Renewal, None,9/25/2001 to 9/24/2003,ANGELO R NEPOMUCENO,A & E NEPOMUCENO PROMOTIONS,8532029 / 8532090,2F & 3F 590-592 QUIRINO AVE TAMBOPARA�AQUE,
Delisted,,8/24/1995 to 8/24/1997,MR RENE F GAVIOLA,A & G HEALTH RECRUITMENT AGENCY CO. , 507141,RM.302 3RD FLR 1928 LEON GUINTO MALATE MANILA,
Forever Banned,, to 8/8/1984,MS FLORENTINA A LOZANO,A & L MANAGEMENT MANPOWER SERVICES , 594462 /  502342,"524 A.FLORES STERMITA, MANILA",
Delisted, None,5/2/2014 to 5/2/2015,MA CONSUELO PLAN-STA CRUZ,A & S MANPOWER RESOURCES INC,7432067/7432021,U400&402 ELYSIUM BLDG 168 D TUAZON  STA MESA HGTSQUEZON CITY,jobsoverseas3@yahoo.com
Valid License, None,7/20/2015 to 7/20/2019,WILLIAM M CASTRO,A & W INTERNATIONAL MANPOWER SERVICES SPECIALIST,3100726 / 09276696472/ 0920879797,"G/F-1/F AND 2/F, BELEN BLDG, 1787 A. MABINI STMALATE, MANILA",a.w.intl.manpower@gmail.com
Inactive,, to ,MR RICARDO M ABAD,A CONSTEEL CONSTRUCTION COMPANY INC , 797913,458 BARRANCA DRIVEMANDALUYONG,
Delisted,, to 4/11/1988,MR ARSENIO L DE CASTRO,A L DE CASTRO CONSTRUCTION , 789960 /  789982,SUITE 2028-2029 VV SOLIVEN BLDG EDSASAN JUAN,
Forever Banned,,7/7/1987 to 7/7/1989,MS AURORA O SANTOS,A L INTERNATIONAL SERVICES INC , 587763 /  573911,"SPACE 25-26 MLA MIDTOWN ARCADE M.ADRIATICO STERMITA, MANILA",
Cancelled,, to 2/14/1986,MR AMALIO L SARMIENTO,A L SARMIENTO CONSTRUCTION ,8311902 / 8318277,3751 BAUTISTA STMAKATI,
Delisted,,10/12/1988 to 10/12/1994,MR ARSENIO P BUENAVENTURA,A P BUENAVENTURA ENTERPRISES ,2223838,"NO.8 ALBA ST EAST TAPINACOLONGAPO CITY, ZAMBALES",
Valid License, None,2/1/2016 to 1/31/2020,ROSEMARIE P. CRISTOBAL,A SYSTEM INTERNATIONAL CORPORATION,254-1550/310-8081,"2ND FLOOR (RIGHT WING), 1170 ROXAS BLVD COR ARQUIZERMITA, MANILA",asysteminternational@yahoo.com
Valid License,www.akananmanpower.com,4/16/2016 to 4/15/2020,RUBY B UY,A. KANAN MANPOWER CORPORATION (FORMERLY BADILLA CORPORATION),(082) 300-8391/ 3105214/ 09199963187/ 09178849996,"6/F, METRO LIFESTYLE COMPLEX F TORRES ST. COR. JACDAVAO CITY, DAVAO DEL SUR",akananmanpower.corp@yahoo.com/jamalkanan09@y.c
Cancelled,NA,3/3/2012 to 3/2/2016,GUILLERMO D CANLAS,"A.B.U. TALENT MANAGEMENT, INC.",524-6537/401-7173,"S-9,10,11,16,18,31A (GF) & S11(2F), MIDLAND PLAZA ERMITA, MANILA",abutalent_management@yahoo.com.ph
Delisted, None,3/2/2000 to 3/2/2002,ANICIA D LANTICAN,A.D. LANTICAN INTERNATIONAL MANPOWER SERVICES,8901587,"DOOR 1 #1040 TERESA ST., BGY.VALENZUELAMAKATI",
Valid License,www.adm-intlmanpower.com,6/3/2016 to 6/2/2020,ANALITA S. DEL MUNDO,A.D.M. INTERNATIONAL MANPOWER SERVICES COMPANY,672-3896/ 6723897/ 7759067,"U306,3F,MAIN BLG.,RELIANCE I.T CTR.99 E. RODRIGUEZUGONG, PASIG CITY",admrecruitment2004@gmail.com
Cancelled, None,7/2/2001 to 6/29/2003,PETRONILA SUCALDITO,A.R. MANPOWER INTERNATIONAL COMPANY,8870695,"#2882 FINLANDIA COR NEWTON BRGYSAN ISIDRO, MAKATI",ar_manpower@yahoo.com 
Valid License,ashmanpower.wix.com/home,10/2/2015 to 10/1/2019,RAMON B MACARAIG,A.S.H. MANPOWER INTERNATIONAL SERVICES INC,522-4470/ 09951805682,"UNIT 112 BALAGTAS VILLAS, BALAGTAS STPASAY CITY",ashmanpower1@gmail.com
Cancelled, None,5/10/2004 to 5/9/2008,VICENTA B. VILLAVER,A.V.V. SPEED MARITIME MANAGEMENT CO. LTD. (FOR. AMMCO),5332661,"RM 308 JOVAN COND, SAMAT COR. SHAW BLVDMANDALUYONG", None
Forever Banned,, to 12/17/1985,MS AMELIA G TSOU,A/J MANPOWER SERVICES ,7214317,RM.601-A CULMAT BLDG 127 E.RODRIGUEZ SR AVEQUEZON CITY,
Delisted,,4/6/1990 to 4/4/1992,MR ATILLA ARKIN,AA INTERNATIONAL BUSINESS VENTURE INC , 886870 / 8163199,9598 KAMAGONG STMAKATI,
Denied Renewal, None,6/17/2000 to 6/17/2000,ANTONIO SC AREVALO,"AAA INTERNATIONAL PLACEMENT, INC.",5210069 / 5211247/ 5264884,"3F TESORO REALTY BLDG 1339 SAL SIPUEDES ST.ERMITA, MANILA", None
Suspended, None,6/21/2016 to 6/20/2020,MR REGULUS M ANCHETA,AAREMA SHIPPING & TRADING COMPANY INC,8182194 / 8184079,"RMS. 203 & 204, CITYLAND DELA ROSE COND, 7648 DELAPIO DEL PILAR, MAKATI",info@aaremaphil.com
Valid License, None,3/15/2016 to 3/14/2020,ALEXANDER VALENZUELA,AAV TALENT TRAINING & MANAGEMENT INC. (FOR  AAV TALENT TRNG & MGT ENT),0946-9317687 (MOBILE),"ROOMS 201 & 202, JALANDONI BLDG, 1444 R. SALAS CORERMITA, MANILA",xjv_1996@yahoo.com
Cancelled, None,6/5/2002 to 6/4/2004,MARY JANE SEMILLA,AB ADELANTE MANPOWER RESOURCES INC,,"MABUHAY BLDG NO 6 GOMEZ EXTENSION BRGY 3LUCENA CITY, QUEZON",
Valid License,www.abmanpower.com,4/5/2016 to 4/4/2020,YOLANDA R SALVADOR,AB INTERNATIONAL PLACEMENT INC (FORMERLY AB INTERNATIONAL PLACEMENT),7758861/5236268/ 09183286179/ 09255252542,"RM 501 AP BLDG 1563 F AGONCIL LO COR P GILERMITA, MANILA",abintl52@gmail.com/ abintl@abmanpower.com
Valid License, None,8/21/2016 to 8/20/2020,JOSEPH R CASTANEDA,ABACAST SHIPPING & MANAGEMENT COMPANY INC,5240026 / 5240029,"3F ENRIQUETA BLDG, 1675-77 A. MABINIMALATE, MANILA",abacast@pldt.com
Delisted,,5/16/1986 to 5/16/1988,MS CONSUELO M VALDERRAMA,ABACUS INTEGRATED SERVICES INC , 858272 /  858248,5F VALDERRAMA BLDG 107 ESTEBAN STMAKATI,
Valid License,www.abba.ph,6/6/2016 to 6/5/2024,NESTOR FLORES,ABBA PERSONNEL SERVICES INC,6335175/ 6371324,U-1102 11/F GOLDLOOP TOWERS ORTIGAS CTR.PASIG CITY,abbapersonnel@gmail.com/recruitment@abbaph.com
Valid License,www.abcglobalemployment.com,3/15/2015 to 3/14/2019,SARA SD DUMANIL,ABC GLOBAL EMPLOYMENT & MANPOWER SERVICES INC (FORMERLY SMITH BELL MANPOWER,6367092/ 5719448/ 5718178,"UNIT 1801, OMM-CITRA BLDG, 39 SAN MIGUEL AVENUE, OPASIG CITY",info@abcgemsph.com
Delisted, None,6/16/1994 to 6/16/1996,FAHAD M ALKHUZEEM,ABC HUMAN RESOURCES DEVELOPMENT INC (FOR ABC RECRUITMENT AGENCY,5222307 / 5266385,528-534 GEN.MALVAR ERMITA MANILAMANILA, None
Cancelled, None,6/19/2012 to 6/18/2016,SARCAWI HASANA P NASSER,ABC MANILA INTERNATIONAL INCORPORATED,493-8396,"3F 1951 A LINAO STMALATE, MANILA", None
Suspended, None,9/8/2015 to 9/7/2019,EMILY A. CARANDANG,ABC MANPOWER AGENCY INC (FORMERLY ABC MANPOWER AGENCY),8448306/8442713/8449306,"U2A&2B,PREMIERE CENTRE,1425 NEWTON STSAN ISIDRO, MAKATI",abcmanpower@mydestiny.net
Valid License, None,9/7/2018 to 9/6/2022,EMILIA G. COSMO-AN,ABCA INTERNATIONAL CORPORATION,912-1138/0908-7095391/ 0906-4531238 (mobile),"57 12TH AVENUE, CUBAOQUEZON CITY",abcainternational@yahoo.com
Valid License,www.abdrecruitment.com,5/1/2016 to 4/30/2020,MS ALICIA B DEVULGADO,ABD OVERSEAS MANPOWER CORP (FORMERLY UNITED PLACEMENT INT`L),8434757/8876041/09189540700/09176204709,"GROUND FLOOR & SECOND FLOOR, 2310 MARCONI CORNER MSAN ISIDRO, MAKATI",abdoverseasmanpower@gmail.com/candidates.abd@gmail
Cancelled,, to 9/16/1982,,ABDEN CONSTRUCTION ,,METRO MANILA ,
Forever Banned,, to 8/28/1986,MR GABRIEL MASCARDO,ABINEXTRA GENERAL SERVICES ,,"2/F RAMONA BLDG 1805 SAN MARCELINOMALATE, MANILA",
Valid License,www.ablemaritimeinc.com,10/7/2016 to 10/6/2020,LEONARDO P ORTEGA,"ABLE MARITIME SEAFARERS, INC.",3105620,"U1,4 &5  2F PWU INTL HSE, 1724 L EON GUINTO ST CORMALATE, MANILA",ablemaritimeinc.com
Delisted,NA,11/18/2008 to 5/17/2009,TEODORO B. QUIJANO,ABLEWILL CORP,5284231/ 5250310,"G/F BARKO BLDG 1014 P OCAMPO SR COR ARELLANO STSMALATE, MANILA",NA
Expired, None,8/13/2004 to 8/12/2007,MA THERESA D GUTAY,ABOITIZ JEBSEN BULK TRANSPORT CORPORATION,5279980 TO 88,"2F HARBOR CTR 11 BLDG RAILROAD & DELGADO STS SOUTHPORT AREA, MANILA", None
Inactive,,9/10/1986 to 9/10/1987,MR JESUS P CARDENAS,ABOITIZ SHIPPING CORPORATION , 216159 /  216981,"PIER 4 NORTH HARBOR PO BOX 2709PORT AREA, MANILA",
Valid License,www.abojeb.com,1/24/2019 to 1/23/2023,RAMON GUZMAN VILLORDON JR,ABOJEB MANPOWER SOLUTIONS INC. (FORMERLY: ABOITIZ JEBSEN MANPOWER SOLUTIONS,FOR INSTALLATION,"G/F (PORTION) AND 6/F, RI RANCE CORPORATE CTR 1, LPARA�AQUE",ajman.operations@abojeb.com.ph
Valid License, None,11/27/2016 to 11/26/2020,GAUDENCIO C MORALES,ABOSTA SHIPMANAGEMENT CORP,5369463/5362107/ 5362108/4005985/4005984/5369401,"8F JEMARSON PLACE BLG 1626 PILAR HIDALGO LIM STMALATE, MANILA",abosta@abosta.com.ph
Cancelled,www.amg.com.ph,8/26/2015 to 8/25/2019,ELIZABETH R GONZALES-CHOW,ABRAHAM MANPOWER GLOBAL INC (FORMERLY TRENDZ INTL MANPOWER SERVICES INC),(632) 5599730 / 09186644099,"UNITS 301 & 306,  VAREB MANSION, 1679 A. MABINI STMALATE, MANILA",office@amg.com.ph
Delisted,,11/27/1997 to 11/27/1999,ATTY HENRY J BACAL,ABS DE ORO MANPOWER SERVICES AND TRADING INC, 728620,BACAL BLDG VAMENTA BLVD CARMEN CAGAYAN DE ORO CITY,
Inactive,, to 9/18/1984,MR ALBERT AGUIRRE,AC AGUIRRE MANAGEMENT CORPORATION , 474873 /  404431,"BF COND ADUANA CORNER SOLANAINTRAMUROS, MANILA",
Delisted, None,6/28/2010 to 6/27/2014,,ACCEL INTERNATIONAL MANPOWER CORPORATION(FORMER CHAMPION INTEGRATED LABOR ),3538382/3538376/ 3538150/0917-5259825,"2/F, THRIFTY BUILDING, #1923 SAN MARCELINO STREETMALATE, MANILA",accelmanpower@yahoo.com.ph
Cancelled,www.accessafrica.workabroad.ph,4/24/2013 to 4/23/2017,MARIA SOCORRO R CAMONAY,ACCESS AFRICA HUMAN RESOURCES CORPORATION,750-0915,"U103 10/F LEGASPI SUITE 178 SALCEDO STREETLEGASPI VILLAGE, MAKATI",aaccessafrica@gmail.com
Cancelled,NA,7/31/2007 to 7/31/2008,MARIA SOCORRO B DE LEON,ACCESS INTERNATIONAL MANPOWER AND OFFSHORE PLACEMENT INC,4420203,"4FLR TOPAZ BLDG 99-101 KAMIAS RD QUEZON CITYKAMIAS, QUEZON CITY",LOT@ACCESSINTL.US
Cancelled, None,4/26/2013 to 4/26/2017,CARMELITA M MEREZ,ACCESSGLOBAL INTERNATIONAL MANPOWER SERVICES INC,9494612/ 6967126,"S-A 4F& S-A,5F ROSE INDUSTRIES BLG,11 PIONEER STKAPITOLYO, PASIG CITY",accessglobal.services@yahoo.com
Cancelled,NA,7/2/2009 to 7/2/2013,MARIFE D. DIZON,ACCLAIMED ONE MANPOWER AND RECRUITMENT SERVICES,3929905/5225739,"3/F PADILLA SQUARE BLDG, P FAURA COR MA OROSA STERMITA, MANILA",acclaimedone@yahoo.com
Delisted,,9/13/1991 to 9/13/1993,MR LEONILO E ATOK,ACCOLADE MARITIME AGENCY INC ,8334706,***2038 FB HARRISON ST PASAY CITY,
Valid License, None,5/17/2018 to 5/17/2020,AUBREY D. ALIMURUNG,ACCORD INT'L. MANPOWER SERVICES CO.,(02) 7593678,1561 A.P. BLDG. F. AGONCILLO ST. ERMITAMANILA, None
Valid License,N/A,7/20/2018 to 7/19/2022,CORAZON D SAKUMURA,ACE GLOBE MGT & CONSULTANCY SERVICES CORP(AAG MGT & CONSULTANCY SVS),9137697 / 9134284 / 09297715542 / 09173528514,"2F, 3F & 4F, 403 P TUAZON STPROJECT 4, QUEZON CITY",aceglobe@yahoo.com
Delisted,,5/16/1986 to 5/16/1988,MS ISABEL L MARTINEZ,ACE MANPOWER SERVICES INC ,,"1721 AGONCILLO STREETMALATE, MANILA",
Delisted,,5/9/1990 to 5/4/1992,MR OSMUNDO SERRANILLA,ACE MARITIME AGENCIES INC , 584498 /  505357,GF 117 GIL PUYAT AVE COR FB HARRISON STPASAY CITY,
Delisted, None,6/27/2012 to 6/26/2016,RICHELLE P BEGUIRAS,ACE NAVIGATION COMPANY INC,8112251 TO 54/8112267 TO 70,"6F KINGS COURT BLDG. I, PASONG TAMO STMAKATI",acenav@i-next.net 
Revoked,,2/23/2000 to 2/23/2002,DORES CHAN,ACER INTERNATIONAL MANPOWER COMPANY ,5641449 / 5641447,"CARRENZEL MANS.,1538-D SN GRE GORIO&FIGUEROA PACO",
Cancelled,NA,2/14/2011 to 2/13/2015,EDUARDO EMOR ONG JR,ACERJEM MANPOWER AGENCY,7060581/83,"UNIT E 6F STRATA 100 F ORTIGAS JR RDORTIGAS, PASIG CITY",acerjem@pldtdsl.net
Delisted,www.acesv.com,5/4/2007 to 11/4/2007,ESTRELLITA M. VALERA,ACES V MANPOWER CORP,8893212 (telefax),101E AGUINALDO AVE PHI AFROVAI FT BONIFACIOTAGUIG,aces_v@yahoo.com/acesvapply@yahoo.com
Delisted, None,5/7/2002 to 5/7/2004,RAYMUNDO G SAMPAYAN,ACFAS MANPOWER RESOURCES INTERNATIONAL,6314771/ 6364736,"G/F UNIT C, 2/F UNITS B&C NO.21 STA TERESITA STKAPITOLYO, PASIG CITY",acfasmkt@pacific.net.ph 
Valid License, None,3/8/2016 to 3/8/2020,MA LOURDES N MERIA,ACHIEVE UNIVERSAL INTERNATIONAL RECRUITMENT SERVICES INC,09189409318,"2F & 3F, 302 J.P. RIZAL ST., PROJECT 4QUEZON CITY",achieve.universal@gmail.com
Delisted, None,1/9/2008 to 1/9/2009,PATRICIA S. IGLESIAS,ACHIEVERS LANDBASE INC,8979146/896-2905/897-9301,"4F U-IV-B GMA LOUBEL PLZA 7514 BAGTIKAN & C. ROCESMAKATI, MAKATI",achieverslandbaseinc@yahoo.com
Delisted,NA,8/24/2011 to 8/24/2012,ARLENE C FLORES,ACHIEVERS OF CAREER IN TECHNOLOGY AND SKILLS MANPOWER AGENCY (ACTSMA) INC,4774863,"U302-303 MARIUS ARCADIA BLDG L10A-2C RAYMUNDO AVECANIOGAN, PASIG CITY",actsma_inc@yahoo.com
Inactive,, to 9/17/1984,MR ANTON C KHO,ACK CONSTRUCTION , 611153 /  604893,697 PINA AVE STA MESA HEIGHTSQUEZON CITY,
Delisted,,2/7/1996 to 2/8/1998,MR ANTONIO V CANETE,ACMDC VENTURES INCORPORATED ,,125 M.VELEZ COR E.OSMENA STS CEBU CITY,
Inactive,, to ,MR ALEJANDRO L MEJIA,ACME DEVELOPMENT ,,2ND FLR AGORA COMM`L COMPLEX N DOMINGOSAN JUAN,
Delisted,,2/27/2000 to 2/27/2002,CARLOS SALINAS,ACOMARIT PHILIPPINES INC ,8981142 / 8981147,FIRST MRTIME PLACE 7458-7460 BAGTICAN ST. MAKATI,
Delisted, None,10/17/2002 to 10/16/2006,MR. VINCENT B. BALDO,"ACROSS THE MILES MANPOWER RESOURCES, INC",9287209/ 9287234,#44 FR MARTINEZ ST COR SCT TUAZON BGY OBRERO QC,
Cancelled,NA,7/22/2008 to 7/22/2012,TEODORO A. MALLARI,ACROSS UNIVERSE INTERNATIONAL MANPOWER AGENCY,3373739,"R303 305 3F KIMVI BLG 1191 MA OROSA STERMITA, MANILA",NA
Forever Banned,, to 11/10/1984,MR ANTHONY U QUE,ACTION MANPOWER MANAGEMENT CORPORATION ,,"561 CARLOS PALANCA STQUIAPO, MANILA",
Revoked,,3/27/2000 to 3/27/2002,BUENA B DELA CRUZ,"ACTIVE LINK MANPOWER RESOURCES INTERNATIONAL, INC.",7294023 / 8171826,GF & 2F 1256 BATANGAS ST BGY SAN ISIDRO MKT,
Cancelled, None,12/9/2006 to 12/8/2010,ANTONIO C CORPUZ,ACTIVE MANPOWER & GENERAL SERVICES,5360066,"GF,#1817 & RM302 #1828 SN MARCELINO ST MALATE MLA",antonio_corpuz@hotmail.com 
Cancelled,www.activeworks.com.ph ,12/4/2006 to 12/3/2010,WILFREDO H. PACRES,"ACTIVE WORKS, INC.",5362172/ 5227417,RM 201 MERCHANT BLG.509 FAURA ST ERMITA MLA,actworks@pacific.net.ph 
Cancelled, None,10/18/2007 to 10/17/2011,MA THERESA P DELA CRUZ,AD`S OVERSEAS PLACEMENT AGENCY,559-8538/559-8476,"1870 F.T. BENITEZ ST.MALATE, MANILA",TESS-ADS@PACIFIC.NET.PH /TESSADS@YAHOO.COM
